,year
EBOV|KC242801|deRoover|DRC|1976,1975.97260273973
EBOV|KC242800|Ilembe|Gabon|2002,2001.99178082192
EBOV|KC242799|13709|Kikwit_DRC|1995,1994.98630136986
EBOV|KC242798|1Ikot|Gabon|1996,1995.98630136986
EBOV|KC242797|1Oba|Gabon|1996,1995.98630136986
EBOV|KC242796|13625|Kikwit_DRC|1995,1994.98630136986
EBOV|KC242795|1Mbie|Gabon|1996,1995.98630136986
EBOV|KC242794|2Nza|Gabon|1996,1995.98630136986
EBOV|KC242793|1Eko|Gabon|1996,1995.98630136986
EBOV|KC242792|Gabon|Mekouka_Gabon|1994,1993.98630136986
EBOV|KC242791|Bonduni|Tandala_DRC|1977,1976.97534246575
EBOV|KC242790|Luebo5|Luebo_DRC|2007,2006.99452054795
EBOV|KC242789|Luebo4|Luebo_DRC|2007,2006.99452054795
EBOV|KC242788|Luebo43|Luebo_DRC|2007,2006.99452054795
EBOV|KC242787|Luebo23|Luebo_DRC|2007,2006.99452054795
EBOV|KC242786|Luebo1|Luebo_DRC|2007,2006.99452054795
EBOV|KC242785|Luebo0|Luebo_DRC|2007,2006.99452054795
EBOV|KC242784|Luebo9|Luebo_DRC|2007,2006.99452054795
EBOV|JQ352763|Kikwit|Kikwit_DRC|1995-05-04,1995.32328767123
EBOV|HQ613403|M-M|DRC|2007-08-31,2007.65753424658
EBOV|HQ613402|034-KS|DRC|2008-12-31,2008.99452054795
EBOV|AY058895_AY058898|Bouee-96|Gabon|1996,1995.98630136986
EBOV|EU051650_EU051638|GOR2_Odz|Odzala_RCongo|2005-06,2005.40821917808
EBOV|EU051649_EU051630|GOR1_Lossi|Lossi_RCongo|2002-12,2002.90684931507
EBOV|EU051648_EU051635|Mbandza|Gabon|2003-11,2003.82465753425
EBOV|EU051647_EU051634|Etoumbi|GrandEtoumbi_Gabon|2005-05,2005.32328767123
EBOV|EU051646_AY526103|Yembelengoye|RCongo|2002-12,2002.90684931507
EBOV|EU051645_AY526104|Mvoula|RCongo|2003-01,2002.99178082192
EBOV|EU051644_AY526102|Entsiami|RCongo|2002-01,2001.99178082192
EBOV|EU051643_AY526099|Olloba|Gabon|2001-12,2001.90684931507
EBOV|EU051642_AY526100|Etakangaye|Gabon|2001-12,2001.90684931507
EBOV|EU051641_AY526098|Mendemba_B|Gabon|2001-10,2001.7397260274
EBOV|EU051640_AY526105|Mendemba_A|Gabon|2001-10,2001.7397260274
EBOV|EU051639_HQ849547|Mayibout|Gabon|1996,1995.98630136986
EBOV|EU051633|CH_Lossi|Lossi_RCongo|2003-02,2003.07671232877
EBOV|EU051632|GOR_Ekata|Ekata_Gabon|2001-11,2001.82465753425
EBOV|EU051631|GOR2_Lossi|Lossi_RCongo|2002-12,2002.90684931507
EBOV|AY526101|Makoukou|Gabon|2001-12,2001.90684931507
EBOV|AY354458|Zaire|Kikwit_DRC|1995,1994.98630136986
EBOV|KM034563|G3687|SierraLeone_G|2014-05-28,2014.40273972603
EBOV|KM034562|G3686|SierraLeone_G|2014-05-28,2014.40273972603
EBOV|KM034561|G3683|SierraLeone_G|2014-05-28,2014.40273972603
EBOV|KM034560|G3682|SierraLeone_G|2014-05-28,2014.40273972603
EBOV|KM034559|G3680|SierraLeone_G|2014-05-28,2014.40273972603
EBOV|KM034558|G3679|SierraLeone_G|2014-05-28,2014.40273972603
EBOV|KM034556|G3677|SierraLeone_G|2014-05-26,2014.39726027397
EBOV|KM034554|G3676|SierraLeone_G|2014-05-27,2014.4
EBOV|KM034553|G3670|SierraLeone_G|2014-05-27,2014.4
EBOV|KM034552|EM098|SierraLeone_EM|2014-05-26,2014.39726027397
EBOV|KM034551|EM096|SierraLeone_EM|2014-05-26,2014.39726027397
EBOV|KM034550|EM095|SierraLeone_EM|2014-05-25,2014.39452054795
EBOV|KJ660348|Gueckedou-C05|Gueckedou_Guinea|2014-03-19,2014.21095890411
EBOV|KJ660347|Gueckedou-C07|Gueckedou_Guinea|2014-03-20,2014.21369863014
EBOV|KJ660346|Kissidougou-C15|Kissidougou_Guinea|2014-03-17,2014.20547945205
EBOV|AF272001|Mayinga|Yambuku_DRC|1976,1975.97260273973
EBOV|AA000000|NM042|SierraLeone_NM|2014-06-04,2014.42191780822
EBOV|AA000000|G3857|SierraLeone_G|2014-06-18,2014.4602739726
EBOV|AA000000|G3856|SierraLeone_G|2014-06-18,2014.4602739726
EBOV|AA000000|G3851|SierraLeone_G|2014-06-18,2014.4602739726
EBOV|AA000000|G3850|SierraLeone_G|2014-06-18,2014.4602739726
EBOV|AA000000|G3848|SierraLeone_G|2014-06-18,2014.4602739726
EBOV|AA000000|G3846|SierraLeone_G|2014-06-18,2014.4602739726
EBOV|AA000000|G3845|SierraLeone_G|2014-06-18,2014.4602739726
EBOV|AA000000|G3841|SierraLeone_G|2014-06-17,2014.45753424658
EBOV|AA000000|G3840|SierraLeone_G|2014-06-17,2014.45753424658
EBOV|AA000000|G3838|SierraLeone_G|2014-06-17,2014.45753424658
EBOV|AA000000|G3834|SierraLeone_G|2014-06-17,2014.45753424658
EBOV|AA000000|G3831|SierraLeone_G|2014-06-16,2014.45479452055
EBOV|AA000000|G3829|SierraLeone_G|2014-06-16,2014.45479452055
EBOV|AA000000|G3827|SierraLeone_G|2014-06-16,2014.45479452055
EBOV|AA000000|G3826|SierraLeone_G|2014-06-16,2014.45479452055
EBOV|AA000000|G3825|SierraLeone_G|2014-06-16,2014.45479452055
EBOV|AA000000|G3823|SierraLeone_G|2014-06-15,2014.45205479452
EBOV|AA000000|G3822|SierraLeone_G|2014-06-15,2014.45205479452
EBOV|AA000000|G3821|SierraLeone_G|2014-06-15,2014.45205479452
EBOV|AA000000|G3820|SierraLeone_G|2014-06-15,2014.45205479452
EBOV|AA000000|G3819|SierraLeone_G|2014-06-15,2014.45205479452
EBOV|AA000000|G3818|SierraLeone_G|2014-06-15,2014.45205479452
EBOV|AA000000|G3817|SierraLeone_G|2014-06-15,2014.45205479452
EBOV|AA000000|G3816|SierraLeone_G|2014-06-15,2014.45205479452
EBOV|AA000000|G3814|SierraLeone_G|2014-06-15,2014.45205479452
EBOV|AA000000|G3810|SierraLeone_G|2014-06-15,2014.45205479452
EBOV|AA000000|G3809|SierraLeone_G|2014-06-15,2014.45205479452
EBOV|AA000000|G3808|SierraLeone_G|2014-06-15,2014.45205479452
EBOV|AA000000|G3807|SierraLeone_G|2014-06-15,2014.45205479452
EBOV|AA000000|G3805|SierraLeone_G|2014-06-15,2014.45205479452
EBOV|AA000000|G3800|SierraLeone_G|2014-06-15,2014.45205479452
EBOV|AA000000|G3799|SierraLeone_G|2014-06-15,2014.45205479452
EBOV|AA000000|G3798|SierraLeone_G|2014-06-15,2014.45205479452
EBOV|AA000000|G3796|SierraLeone_G|2014-06-15,2014.45205479452
EBOV|AA000000|G3795|SierraLeone_G|2014-06-15,2014.45205479452
EBOV|AA000000|G3789|SierraLeone_G|2014-06-14,2014.44931506849
EBOV|AA000000|G3788|SierraLeone_G|2014-06-14,2014.44931506849
EBOV|AA000000|G3787|SierraLeone_G|2014-06-14,2014.44931506849
EBOV|AA000000|G3786|SierraLeone_G|2014-06-14,2014.44931506849
EBOV|AA000000|G3782|SierraLeone_G|2014-06-14,2014.44931506849
EBOV|AA000000|G3771|SierraLeone_G|2014-06-12,2014.44383561644
EBOV|AA000000|G3770|SierraLeone_G|2014-06-12,2014.44383561644
EBOV|AA000000|G3769|SierraLeone_G|2014-06-12,2014.44383561644
EBOV|AA000000|G3765|SierraLeone_G|2014-06-14,2014.44931506849
EBOV|AA000000|G3764|SierraLeone_G|2014-06-12,2014.44383561644
EBOV|AA000000|G3758|SierraLeone_G|2014-06-11,2014.44109589041
EBOV|AA000000|G3752|SierraLeone_G|2014-06-10,2014.43835616438
EBOV|AA000000|G3750|SierraLeone_G|2014-06-10,2014.43835616438
EBOV|AA000000|G3735|SierraLeone_G|2014-06-07,2014.4301369863
EBOV|AA000000|G3734|SierraLeone_G|2014-06-07,2014.4301369863
EBOV|AA000000|G3729|SierraLeone_G|2014-06-07,2014.4301369863
