"","sampleTimes"
"PL5674_2015-03-31",2015.24372146119
"13247_EMLH_2015-06-19",2015.46289954338
"20140395_2014-09-02",2014.66837899543
"18596_EMLH_2015-07-05",2015.50673515982
"EM_COY_2015_016278_2015-05-05",2015.33961187215
"EM_COY_2015_015986_2015-04-20",2015.29851598174
"DML13828_2015-06-22",2015.47111872146
"EM_COY_2015_017135_2015-05-29",2015.4053652968
"20140910_2014-09-18",2014.71221461187
"EM-FORE-2015-669_2015-06-05",2015.424543379
"EM_FORE_2015_1024_2015-06-29",2015.49029680365
"20141280_2014-09-23",2014.72591324201
"EM-FORE-2015-664_2015-06-04",2015.42180365297
"20140008_2014-08-22",2014.63824200913
"20143031_2014-10-25",2014.81358447489
"20140038_2014-08-23",2014.64098173516
"20140254_2014-08-29",2014.65742009132
"MK0866_2015-01-05",2015.01095890411
"EM_COY_2015_017021_2015-05-25",2015.39440639269
"PL4886_2015-03-16",2015.20273972603
"20143964_2014-11-07",2014.84931506849
"EM_COY_2015_015972_2015-04-20",2015.29851598174
"DML24706_2015-01-28",2015.07397260274
"20140729_2014-09-10",2014.69029680365
"EM_COY_2015_017238_2015-05-31",2015.41084474886
"20142551_2014-10-23",2014.80810502283
"20140489_2014-09-04",2014.67385844749
"EM_COY_2015_022059_2015-07-02",2015.49851598174
"20142127_2014-10-12",2014.77796803653
"EM_076948_2014-11-13",2014.86575342466
"77551_EMLK_2015-01-01",2015
"IPDPFHGINSP_GUI_2015_4909_2015-03-29",2015.23835616438
"REDC_GUI_2015_00589_2015-07-15",2015.53413242009
"DML24758_2015-01-30",2015.07945205479
"EM_FORE_2015_781_2015-06-13",2015.44646118721
"20141012_2014-09-21",2014.72043378995
"EM_FORE_2015_696_2015-06-07",2015.43002283105
"LIBR10081_2014-08-26",2014.64920091324
"20142407_2014-10-16",2014.78892694064
"20140433_2014-09-03",2014.67111872146
"EM_076770_2014-11-08",2014.85205479452
"LIBR10245_2014-07-01",2014.49577625571
"CON-11010_2015-08-23",2015.64098173516
"KT5243_2015-02-22",2015.14246575342
"EM_FORE_2015_1047_2015-06-30",2015.49303652968
"KG12_2015-05-27",2015.39988584475
"EM_COY_2015_016236_2015-05-03",2015.33413242009
"18706_EMLH_2015-07-14",2015.53139269406
"EM_GUI_2015_004674_2015-03-26",2015.2301369863
"EM_COY_2015_016293_2015-05-06",2015.34235159817
"EM-FORE-2015-1414_2015-07-13",2015.52865296804
"20143659_2014-11-03",2014.83835616438
"20140590_2014-09-07",2014.68207762557
"PL4284_2015-03-03",2015.16712328767
"20141352_2014-09-26",2014.73413242009
"20143918_2014-11-06",2014.84657534247
"EM_COY_2015_017240_2015-05-31",2015.41084474886
"KG88_2015-06-19",2015.46289954338
"IPDPFHGINSP_GUI_2015_7070_2015-05-18",2015.3752283105
"DML14366_2015-07-11",2015.52317351598
"EM_COY_2015_014098_2015-03-26",2015.2301369863
"J0135_2014-11-03",2014.83835616438
"LIBR0063_2014-11-06",2014.84657534247
"20143753_2014-11-05",2014.84383561644
"KG45_2015-06-09",2015.43550228311
"MK1156_2015-01-15",2015.03835616438
"20143018_2014-10-26",2014.81632420091
"KG168_2015-06-29",2015.49029680365
"491_EMLH_2015-01-30",2015.07945205479
"EM_COY_2015_013962_2015-03-22",2015.21917808219
"20142477_2014-10-19",2014.79714611872
"PL4932_2015-03-18",2015.20821917808
"KT5022_2015-02-13",2015.11780821918
"20142895_2014-10-24",2014.81084474886
"EM_COY_2015_017091_2015-05-28",2015.40262557078
"20140872_2014-09-15",2014.70399543379
"EM_COY_2015_017174_2015-05-30",2015.40810502283
"CON12930_2015-10-13",2015.78070776256
"IPDPFHGINSP_GUI_2015_5339_2015-04-08",2015.26563926941
"EM_FORE_2015_816_2015-06-15",2015.45194063927
"KT7106_2015-07-19",2015.5450913242
"KG87_2015-06-19",2015.46289954338
"REDC_GUI_2015_00494B_2015-07-12",2015.52591324201
"EM-FORE-2015-631_2015-06-02",2015.41632420091
"EM_COY_2015_015802_2015-04-14",2015.28207762557
"15070R_DML_2015-08-06",2015.59440639269
"14748_EML_2015-04-19",2015.29577625571
"REDC_GUI_2015_00483_2015-07-12",2015.52591324201
"MK2826_2015-03-08",2015.18082191781
"EM_FORE_2015_934_2015-06-23",2015.47385844749
"EM_COY_2015_015815_2015-04-14",2015.28207762557
"EM_FORE_2015-1971_2015-08-14",2015.61632420091
"13268_EMLH_2015-06-23",2015.47385844749
"KG35_2015-06-08",2015.43276255708
"MK0865_2015-01-05",2015.01095890411
"EM_076769_2014-11-08",2014.85205479452
"EM_COY_2015_013795_2015-03-16",2015.20273972603
"CON-10786_2015-08-17",2015.624543379
"20144521_2014-11-12",2014.86301369863
"20141288_2014-09-23",2014.72591324201
"KG167_2015-06-29",2015.49029680365
"13204_EMLH_2015-06-16",2015.4546803653
"PL4785_2015-03-14",2015.19726027397
"KG80_2015-06-18",2015.46015981735
"KG90_2015-06-19",2015.46289954338
"LIBR10253_2014-09-16",2014.70673515982
"IPDPFHGINSP_GUI_2015_5117_2015-04-03",2015.25194063927
"567_EMLH_2015-02-03",2015.0904109589
"EM_COY_2015_016617_2015-05-16",2015.36974885845
"EM_COY_2015_014261_2015-04-02",2015.24920091324
"EM_076949_2014-11-13",2014.86575342466
"20140024_2014-08-20",2014.63276255708
"20142417_2014-10-19",2014.79714611872
"PL4197_2015-03-02",2015.16438356164
"EM_FORE_2015-2547_2015-09-26",2015.73413242009
"MK2008_2015-02-12",2015.11506849315
"EM_COY_2015_017788_2015-06-16",2015.4546803653
"EM-FORE_2015_1160_2015-07-13",2015.52865296804
"20141241_2014-09-24",2014.72865296804
"DML24853_2015-02-06",2015.09863013699
"EM_COY_2015_014060_2015-03-25",2015.22739726027
"GUI_CTS_2015_0050_2015-06-20",2015.46563926941
"EM_COY_2015_016414_2015-05-11",2015.35605022831
"20141497_2014-10-01",2014.74783105023
"EM_FORE_2015_2878_2015-10-24",2015.81084474886
"EM-FORE-2015-548_2015-05-27",2015.39988584475
"EM_COY_2015_016483_2015-05-13",2015.36152968037
"PL4813_2015-03-14",2015.19726027397
"EM_COY_2015_016800_2015-05-20",2015.38070776256
"PL5275_2015-03-24",2015.22465753425
"77572_EMLK_2015-01-03",2015.00547945205
"MK10128_2015-07-31",2015.57796803653
"CON-10512_2015-08-11",2015.60810502283
"20141643_2014-10-04",2014.75605022831
"20141582_2014-10-04",2014.75605022831
"EM_COY_2015_013857_2015-03-18",2015.20821917808
"EM_COY_2015_015982_2015-04-20",2015.29851598174
"EM_COY_2015_016263_2015-05-04",2015.33687214612
"20141960_2014-10-09",2014.76974885845
"CDC-NIH-272_2014-08-27",2014.65194063927
"CON-10193_2015-08-03",2015.58618721461
"18538_EMLH_2015-07-04",2015.50399543379
"EM_COY_2015_013671_2015-03-12",2015.19178082192
"20141429_2014-09-28",2014.73961187215
"20143550_2014-11-01",2014.83287671233
"20141282_2014-09-23",2014.72591324201
"20143796_2014-11-05",2014.84383561644
"PL4283_2015-03-03",2015.16712328767
"12854_EMLH_2015-04-15",2015.2848173516
"PL4844_2015-03-16",2015.20273972603
"EM_FORE_2015_1023_2015-06-29",2015.49029680365
"20143036_2014-10-24",2014.81084474886
"REDC_GUI_2015_02242_2015-10-24",2015.81084474886
"20524_EMLK_2015-09-06",2015.67933789954
"REDC-GUI-2015-00402_2015-07-08",2015.5149543379
"GUI_CTS_2015_0051_2015-06-21",2015.46837899543
"EM_COY_2015_016267_2015-05-04",2015.33687214612
"CON-8811_2015-06-27",2015.4848173516
"12855_EMLH_2015-04-15",2015.2848173516
"DML14077_2015-06-30",2015.49303652968
"20143938_2014-11-07",2014.84931506849
"EM_COY_2015_017664_2015-06-12",2015.44372146119
"REDC_GUI_2015_01323_2015-08-27",2015.65194063927
"PL5950_2015-04-08",2015.26563926941
"REDC_GUI_2015_00576_2015-07-17",2015.53961187215
"20140436_2014-09-03",2014.67111872146
"REDC_GUI_2015_01165_2015-08-18",2015.62728310502
"77615_EMLK_2015-01-05",2015.01095890411
"EM_FORE_2015_1437_2015-07-15",2015.53413242009
"PL4804_2015-03-15",2015.2
"12934_EMLH_2015-05-04",2015.33687214612
"EM_COY_2015_016515_2015-05-14",2015.36426940639
"KG91_2015-06-20",2015.46563926941
"20140933_2014-09-16",2014.70673515982
"77524_EMLK_2014-12-30",2014.99452054795
"EM_COY_2015_017574_2015-06-10",2015.43824200913
"REDC_GUI_2015_01285_2015-08-24",2015.64372146119
"EM_079388_2014-07-30",2014.5752283105
"EM_COY_2015_015980_2015-04-20",2015.29851598174
"REDC-GUI-2015-00502_2015-07-13",2015.52865296804
"PL8486_2015-06-25",2015.47933789954
"DML14163_2015-07-03",2015.50125570776
"IPDPFHGINSP_GUI_2015_6899_2015-05-14",2015.36426940639
"EM_COY_2015_016456_2015-05-12",2015.35878995434
"12851_EMLH_2015-04-15",2015.2848173516
"20141997_2014-10-10",2014.77248858447
"EM_FORE_2015_875_2015-06-17",2015.45742009132
"PL5133_2015-03-21",2015.21643835616
"20143360_2014-10-30",2014.82739726027
"18642R_EMLH_2015-07-08",2015.5149543379
"MK8878_2015-07-23",2015.55605022831
"EM_078697_2014-12-14",2014.95068493151
"20143716_2014-11-04",2014.84109589041
"20143466_2014-11-01",2014.83287671233
"PL4443_2015-03-07",2015.17808219178
"REDC-GUI-2015-00497_2015-07-12",2015.52591324201
"PL5534_2015-03-29",2015.23835616438
"12916_EMLH_2015-04-29",2015.32317351598
"PL4346_2015-03-04",2015.1698630137
"MK10173_2015-08-01",2015.58070776256
"20143187_2014-10-28",2014.82191780822
"18659R_EMLH_2015-07-10",2015.52043378995
"EM_FORE_2015-2533_2015-09-26",2015.73413242009
"DML24620_2015-01-21",2015.05479452055
"18636_EMLH_2015-07-08",2015.5149543379
"DML24720_2015-01-29",2015.07671232877
"201403007_2014-08-03",2014.58618721461
"18648_EMLH_2015-07-09",2015.51769406393
"77613_EMLK_2015-01-05",2015.01095890411
"20140091_2014-08-22",2014.63824200913
"EM_078709_2014-12-14",2014.95068493151
"EM_FORE_2015_695_2015-06-07",2015.43002283105
"EM_COY_2015_016642_2015-05-17",2015.37248858447
"EM_COY_2015_017865_2015-06-18",2015.46015981735
"EM-FORE-2015-838_2015-06-16",2015.4546803653
"18647_EMLH_2015-07-09",2015.51769406393
"20140161_2014-08-27",2014.65194063927
"13031_EMLH_2015-05-18",2015.3752283105
"20143107_2014-10-25",2014.81358447489
"20142065_2014-10-11",2014.7752283105
"IPDPFHGINSP_GUI_2015_4786_2015-03-26",2015.2301369863
"20142856_2014-10-24",2014.81084474886
"EM_FORE_2015_1313_2015-07-10",2015.52043378995
"75674_EMLH_2015-01-13",2015.03287671233
"12936_EMLH_2015-05-04",2015.33687214612
"EM_FORE_2015_2781_2015-10-13",2015.78070776256
"REDC_GUI_2015_01408_2015-09-01",2015.66563926941
"EM_COY_2015_023747_2015-09-09",2015.68755707763
"592_EMLH_2015-02-05",2015.09589041096
"PL4203_2015-03-02",2015.16438356164
"EM_FORE_2015_896_2015-06-20",2015.46563926941
"20141061_2014-09-21",2014.72043378995
"20141650_2014-10-05",2014.75878995434
"20146578_2014-12-26",2014.98356164384
"EM_COY_2015_013576_2015-03-09",2015.18356164384
"EM_COY_2015_016449_2015-05-11",2015.35605022831
"MK0464_2014-12-24",2014.97808219178
"20141123_2014-09-22",2014.72317351598
"13275_EMLH_2015-06-24",2015.47659817352
"12872_EMLH_2015-04-18",2015.29303652968
"18649_EMLH_2015-07-10",2015.52043378995
"EM_COY_2015_014102_2015-03-26",2015.2301369863
"20140174_2014-08-27",2014.65194063927
"18650_EMLH_2015-07-10",2015.52043378995
"20142260_2014-10-14",2014.78344748858
"EM_COY_2015_017018_2015-05-26",2015.39714611872
"20144192_2014-11-08",2014.85205479452
"20143648_2014-11-03",2014.83835616438
"20140100_2014-08-24",2014.64372146119
"EM_COY_2015_017057_2015-05-27",2015.39988584475
"J0169_2014-11-09",2014.85479452055
"EM_COY_2015_016531_2015-05-14",2015.36426940639
"20140517_2014-09-05",2014.67659817352
"20143164_2014-10-27",2014.81917808219
"20141232_2014-09-25",2014.73139269406
"EM_COY_2015_017666_2015-06-12",2015.44372146119
"REDC_GUI_2015_00545_2015-07-15",2015.53413242009
"20141043_2014-09-21",2014.72043378995
"PL4119_2015-02-28",2015.15890410959
"20141227_2014-09-26",2014.73413242009
"490_EMLH_2015-01-30",2015.07945205479
"DML25123_2015-02-18",2015.13150684931
"20140134_2014-08-26",2014.64920091324
"EM_COY_2015_014370_2015-04-07",2015.26289954338
"EM_COY_2015_017787_2015-06-16",2015.4546803653
"20141491_2014-10-01",2014.74783105023
"EM_FORE_2015_1079_2015-07-01",2015.49577625571
"20141271_2014-09-24",2014.72865296804
"EM_FORE_2015-2531_2015-09-26",2015.73413242009
"20143458_2014-11-01",2014.83287671233
"EM_FORE_2015_1076_2015-07-01",2015.49577625571
"EM_FORE_2015_697_2015-06-07",2015.43002283105
"EM_FORE_2015_1415_2015-07-20",2015.54783105023
"20143415_2014-10-31",2014.8301369863
"EM_FORE_2015-2417_2015-09-15",2015.70399543379
"20143317_2014-10-29",2014.82465753425
"EM_COY_2015_013731_2015-03-14",2015.19726027397
"EM_FORE_2015_1140_2015-07-03",2015.50125570776
